Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
7544829,"The Line of Polity (Agent Cormac, #2)",Neal Asher,"Asher, Neal",,"=""0330512560""","=""9780330512565""",0,Macmillan Pub Ltd,Paperback,663,2009,2003,,2012/12/26,to-read,to-read (#3),to-read,,,,0,0
27539,On Intelligence,Jeff Hawkins,"Hawkins, Jeff",Sandra Blakeslee,"=""0805078533""","=""9780805078534""",5,St. Martin's Griffin,Paperback,261,2005,2004,2013/07/27,2013/07/17,,,read,,,,1,0
432684,Death in Yellowstone: Accidents and Foolhardiness in the First National Park,Lee H. Whittlesey,"Whittlesey, Lee H.",,"=""1570980217""","=""9781570980213""",0,Roberts Rinehart,Paperback,240,1995,1995,,2013/07/17,to-read,to-read (#48),to-read,,,,0,0
570172,The Brain that Changes Itself: Stories of Personal Triumph from the Frontiers of Brain Science,Norman Doidge,"Doidge, Norman",,"=""067003830X""","=""9780670038305""",0,Viking,Hardcover,427,2007,2007,,2013/07/17,to-read,to-read (#47),to-read,,,,0,0
2159,Confessions of an Economic Hit Man,John Perkins,"Perkins, John",,"=""0452287081""","=""9780452287082""",0,Plume,Paperback,303,2005,2005,,2013/07/17,to-read,to-read (#46),to-read,,,,0,0
39020,1491: New Revelations of the Americas Before Columbus,Charles C. Mann,"Mann, Charles C.",,"=""1400032059""","=""9781400032051""",0,Vintage,Paperback,563,2011,2005,,2013/07/17,to-read,to-read (#45),to-read,,,,0,0
568236,A Distant Mirror: The Calamitous 14th Century,Barbara W. Tuchman,"Tuchman, Barbara W.",,"=""0345349571""","=""9780345349576""",0,Random House Publishing Group,Paperback,714,1987,1978,,2013/07/17,to-read,to-read (#44),to-read,,,,0,0
21996,The Devil in the White City,Erik Larson,"Larson, Erik",Tony Goldwyn,"=""0739303406""","=""9780739303405""",0,Random House Audio Publishing Group,Paperback,496,2003,2003,,2013/07/17,to-read,to-read (#43),to-read,,,,0,0
40102,Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,"Gladwell, Malcolm","Barry Fox, Irina Henegar","=""0316010669""","=""9780316010665""",4,Back Bay Books,Paperback,296,2007,2005,,2013/07/17,,,read,,,,1,0
2612,The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,"Gladwell, Malcolm",,"=""""","=""""",4,Time Warner Book Group,Paperback,301,2002,2000,,2013/07/17,,,read,,,,1,0
